symbol,month,timestamp,open,high,low,close,volume,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,c-o,h-c,l-c,h-o,l-o,h-l,unnamed: 19,unnamed: 20,unnamed: 21,unnamed: 22,unnamed: 23,unnamed: 24,unnamed: 25,hc<co,hc<ho,lc<co,up,961 / 776,958 / 799,unnamed: 32,unnamed: 33,J,K,L,next_open,next_close,J_next,U,body_pct,upper_wick_pct,lower_wick_pct,next_body_pct,next_move_pct,U_pct,abs_U_pct,direction
XRPUSDT,2026-07,2026-07-01 09:00:00+00:00,1.0476000000,1.0492000000,1.0445000000,1.0460000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0016000000,0.0032000000,0.0015000000,1.0460000000,1.0403000000,-0.0057000000,-0.0041000000,-0.0015273005,0.0030546010,0.0014318442,-0.0054493308,-0.0069683085,-0.0039137075,0.0039137075,-1
BTCUSDT,2026-07,2026-07-01 10:00:00+00:00,58944.5500000000,58948.4700000000,58624.0000000000,58659.9800000000,0.0000000000,-0.124718361,58699.95847,58622.0300000000,1.0000000000,1.0000000000,-284.5700000000,288.4900000000,-35.9800000000,3.9200000000,-320.5500000000,324.4700000000,246.6300000000,,h-c,1.0000000000,,,,1.0000000000,1.0000000000,1.0000000000,3.0000000000,True,,-284.5700000000,569.1400000000,-284.5700000000,288.4900000000,35.9800000000,58659.9700000000,58622.0300000000,-37.9400000000,246.6300000000,-0.0048277576,0.0048942608,0.0006104042,-0.0006467784,-0.0054715830,0.0041841018,0.0041841018,-1
ETHUSDT,2026-07,2026-07-01 10:00:00+00:00,1581.0000000000,1581.5200000000,1572.1100000000,1573.4300000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.5700000000,8.0900000000,1.3200000000,1573.4300000000,1569.8900000000,-3.5400000000,4.0300000000,-0.0047881088,0.0051170145,0.0008349146,-0.0022498618,-0.0070271980,0.0025490196,0.0025490196,-1
SOLUSDT,2026-07,2026-07-01 10:00:00+00:00,75.4600000000,75.5700000000,74.9700000000,74.9900000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4700000000,0.5800000000,0.0200000000,74.9900000000,74.8400000000,-0.1500000000,0.3200000000,-0.0062284654,0.0076861914,0.0002650411,-0.0020002667,-0.0082162735,0.0042406573,0.0042406573,-1
XRPUSDT,2026-07,2026-07-01 10:00:00+00:00,1.0460000000,1.0467000000,1.0394000000,1.0403000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0057000000,0.0064000000,0.0009000000,1.0403000000,1.0386000000,-0.0017000000,0.0040000000,-0.0054493308,0.0061185468,0.0008604207,-0.0016341440,-0.0070745698,0.0038240918,0.0038240918,-1
BTCUSDT,2026-07,2026-07-01 11:00:00+00:00,58659.9700000000,58755.9000000000,58550.0000000000,58622.0300000000,0.0000000000,0,58622.03,58538.0100000000,-1.0000000000,-1.0000000000,-37.9400000000,133.8700000000,-72.0300000000,95.9300000000,-109.9700000000,205.9000000000,-46.0700000000,-109.9700000000,,-1.0000000000,c-o,,,1.0000000000,1.0000000000,0.0000000000,2.0000000000,,,-37.9400000000,75.8800000000,-37.9400000000,133.8700000000,72.0300000000,58622.0200000000,58538.0100000000,-84.0100000000,-46.0700000000,-0.0006467784,0.0022821355,0.0012279243,-0.0014330792,-0.0020791010,-0.0007853737,0.0007853737,-1
ETHUSDT,2026-07,2026-07-01 11:00:00+00:00,1573.4300000000,1575.9600000000,1567.1300000000,1569.8900000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.5400000000,6.0700000000,2.7600000000,1569.8800000000,1570.2400000000,0.3600000000,3.9000000000,-0.0022498618,0.0038578138,0.0017541295,0.0002293169,-0.0020274178,0.0024786613,0.0024786613,1
SOLUSDT,2026-07,2026-07-01 11:00:00+00:00,74.9900000000,75.3200000000,74.6400000000,74.8400000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1500000000,0.4800000000,0.2000000000,74.8400000000,74.6200000000,-0.2200000000,-0.0700000000,-0.0020002667,0.0064008534,0.0026670223,-0.0029396045,-0.0049339912,-0.0009334578,0.0009334578,-1
XRPUSDT,2026-07,2026-07-01 11:00:00+00:00,1.0403000000,1.0428000000,1.0367000000,1.0386000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0017000000,0.0042000000,0.0019000000,1.0386000000,1.0373000000,-0.0013000000,0.0004000000,-0.0016341440,0.0040372969,0.0018263962,-0.0012516850,-0.0028837835,0.0003845045,0.0003845045,-1
BTCUSDT,2026-07,2026-07-01 12:00:00+00:00,58622.0200000000,58676.0000000000,58326.0000000000,58538.0100000000,0.0000000000,0,58538.01,59498.0300000000,-1.0000000000,1.0000000000,-84.0100000000,137.9900000000,-212.0100000000,53.9800000000,-296.0200000000,350.0000000000,1044.0400000000,,0,1.0000000000,,,,1.0000000000,1.0000000000,0.0000000000,2.0000000000,,,-84.0100000000,168.0200000000,-84.0100000000,137.9900000000,212.0100000000,58538.0000000000,59498.0300000000,960.0300000000,1044.0400000000,-0.0014330792,0.0023538936,0.0036165591,0.0164001162,0.0149433609,0.0178096899,0.0178096899,1
ETHUSDT,2026-07,2026-07-01 12:00:00+00:00,1569.8800000000,1572.4900000000,1565.2600000000,1570.2400000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3600000000,2.2500000000,4.9800000000,1570.2400000000,1597.2200000000,26.9800000000,26.6200000000,0.0002293169,0.0014332306,0.0031722170,0.0171820868,0.0174153438,0.0169567101,0.0169567101,1
SOLUSDT,2026-07,2026-07-01 12:00:00+00:00,74.8400000000,74.9600000000,74.2700000000,74.6200000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2200000000,0.3400000000,0.3500000000,74.6100000000,76.0400000000,1.4300000000,1.6500000000,-0.0029396045,0.0045430251,0.0046766435,0.0191663316,0.0160342063,0.0220470337,0.0220470337,1
XRPUSDT,2026-07,2026-07-01 12:00:00+00:00,1.0386000000,1.0399000000,1.0345000000,1.0373000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0013000000,0.0026000000,0.0028000000,1.0374000000,1.0494000000,0.0120000000,0.0133000000,-0.0012516850,0.0025033699,0.0026959368,0.0115673800,0.0103986135,0.0128057000,0.0128057000,1
BTCUSDT,2026-07,2026-07-01 13:00:00+00:00,58538.0000000000,59508.0000000000,58536.0000000000,59498.0300000000,0.0000000000,96.49247743,59305.04505,59542.0000000000,-1.0000000000,-1.0000000000,960.0300000000,9.9700000000,-962.0300000000,970.0000000000,-2.0000000000,972.0000000000,-916.0600000000,-2.0000000000,,-1.0000000000,l-o,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,True,960.0300000000,1920.0600000000,960.0300000000,9.9700000000,962.0300000000,59498.0300000000,59542.0000000000,43.9700000000,-916.0600000000,0.0164001162,0.0001703167,0.0164342820,0.0007390161,0.0171512522,-0.0156489801,0.0156489801,1
ETHUSDT,2026-07,2026-07-01 13:00:00+00:00,1570.2400000000,1598.0000000000,1570.0000000000,1597.2200000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,26.9800000000,0.7800000000,27.2200000000,1597.2200000000,1601.1800000000,3.9600000000,-23.0200000000,0.0171820868,0.0004967394,0.0173349297,0.0024793078,0.0197039943,-0.0146601793,0.0146601793,1
SOLUSDT,2026-07,2026-07-01 13:00:00+00:00,74.6100000000,76.3400000000,74.6100000000,76.0400000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4300000000,0.3000000000,1.4300000000,76.0400000000,76.9700000000,0.9300000000,-0.5000000000,0.0191663316,0.0040209087,0.0191663316,0.0122304050,0.0316311486,-0.0067015145,0.0067015145,1
XRPUSDT,2026-07,2026-07-01 13:00:00+00:00,1.0374000000,1.0496000000,1.0367000000,1.0494000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0120000000,0.0002000000,0.0127000000,1.0494000000,1.0522000000,0.0028000000,-0.0092000000,0.0115673800,0.0001927897,0.0122421438,0.0026681913,0.0142664353,-0.0088683247,0.0088683247,1
